Feature,pc1,pc2
obsese_adults_%,-0.10664427431462944,-0.03891147373975417
overweight_adults_%,-0.1013252688349028,-0.03213819669312312
diabetic_adults_%,-0.042140626264951415,-0.031219567085252413
heartrate_adult_%,-0.018652442210220565,0.022511464577265387
poor_mental_health_%,-0.09474964622336168,-0.028124987684311167
smoking_rate_%,-0.09126140615148004,-0.1350611385485649
smoking_pregnant_%,-0.08858587435094668,-0.07027312092534145
infant_rate_2014_per1000,0.02474310151160863,0.02440940354821535
hiv_density_per1000,-0.03181680319295434,0.004646210276600697
firearm_deaths_2015_%,0.028989165815840285,-0.03788613160077614
live_births_2014_%,0.0,-0.10452663523384366
chlamydia_%,0.023761903867357378,-0.01497838251277756
gonorrhea_%,0.0037614252983528625,-0.029495028593982904
syphillis_%,0.010346044725865401,-0.008074469891868488
nonfatal_opiod_hospitalevents_%,-0.13491339912554556,0.014147368694792418
hypertension_%,-0.12377802295044954,0.001322507977165826
diagnosed_depression_%,-0.11717592905390027,0.0
anyexercise_%,-0.1274252932076747,-0.02435049228665842
suicide_deaths_%,0.016505837676676707,-0.08794488552836428
risk_per1000,-0.1078842505667799,-0.08554069238994434
smokers_helpline_%,0.0022275616014555103,0.048938967725428044
substanceuse_rate_AA,-0.08372313436600205,0.0056109229806073115
mentalhealth_hosp_rate,-0.1065456923394134,-0.045330141709658336
breast_cancer_sir,-0.005183607527860543,0.0
prostrate_cancer_sir,-0.01707954804492926,0.0
colorectal_cancer_sir,-0.05263714816044173,0.0509868794228977
lung_cancer_sir,-0.11567754852178112,0.041398047463116004
cervical_cancer_sir,-0.08375307821818587,0.06464818912234893
