\,cancer_admissions_AA,Diabetes_admissions_AA,Stroke_admissions_AA,fruit_consump_%,obsese_adults_%,overweight_adults_%,diabetic_adults_%,heartrate_adult_%,poor_mental_health_%,smoking_rate_%,infant_rate_2014_per1000,hiv_density_per1000,firearm_deaths_2015_%,live_births_2014_%,gonorrhea_%,nonfatal_opiod_hospitalevents_%,hypertension_%,diagnosed_depression_%,anyexercise_%,suicide_deaths_%,risk_per1000,smokers_helpline_%,substanceuse_rate_AA,mentalhealth_hosp_rate,breast_cancer_sir,prostrate_cancer_sir,colorectal_cancer_sir,lung_cancer_sir,cervical_cancer_sir
infant_rate_2014_per1000,0.06950633342489444,0.002286958468601426,-0.029926106166542336,-0.00572451127047847,-0.12217431466795547,-0.048620980057738725,0.060340754624307186,-0.2417255563454951,-0.015934237729777898,-0.009057028802801919,1.0,0.09282370162385176,0.03759788420966003,0.018673238503549166,0.05520001115903396,-0.028345568832184215,-0.0341214826730012,-0.017656427691664714,-0.056211379768133236,0.02453945100999858,0.006752974830178943,-0.055594175948358714,-0.017953133021281178,-0.07184887425055966,0.1122834129138854,0.13437641018697674,0.06297023768673667,-0.016053434675671014,-0.028569689013781388
hiv_density_per1000,0.11780851134830243,-0.05708904240939428,0.3523464469975045,0.03615735083941726,-0.02786395385389755,-0.05687632706416356,0.13003598072077638,-0.254639614179012,-0.07306123397415137,-0.046975627688370054,0.09282370162385176,1.0,-0.012054073909014421,-0.0167944065175443,0.4755312548629399,0.005535560498255138,-0.07991832539214973,0.15558724817393846,0.003804939583350719,0.004969901060766445,0.024986739721881677,0.02670475648760181,0.2521102647722382,-0.15291826799420652,0.0735087725800129,-0.05987684724214245,0.12307330747379949,0.04787418839228155,-0.018131628864549054
firearm_deaths_2015_%,0.4896859674215888,0.04901915193163113,0.2318491610008857,-0.40623183816893105,-0.16370292378188941,-0.13152955609385203,-0.16576104305037467,-0.15865907091935777,-0.18223350754386258,-0.0452711280514403,0.03759788420966003,-0.012054073909014421,1.0,0.14747123972770604,0.06050954219787368,-0.11792574614090488,-0.16980563664357778,-0.1390342727350119,0.005909482584229446,0.05168342385456307,0.01582234827024603,-0.08842619843135902,-0.490094123836396,0.03403811078605068,-0.19116709450327318,-0.145771339479766,-0.13185772163320275,-0.2658419294959656,-0.11970628994148623
live_births_2014_%,0.23403549236696158,0.03730338307578364,0.1342230310584568,-0.2772481882546144,0.17032329871449356,-0.22225052296443293,0.06340219912378857,-0.11861165295870202,-0.46948749602838463,-0.4149786823992627,0.018673238503549166,-0.0167944065175443,0.14747123972770604,1.0,0.19082872930839098,-0.3387071345640406,-0.3513147925167382,-0.34173397995333493,-0.21170870610312204,0.17882015337122226,-0.18763140742813827,-0.11432944304470279,-0.21685437200526284,-0.1944845460610305,-0.19849187287376455,-0.1374844017584575,-0.21235677488792465,-0.40559321472800475,-0.3079223826366357
gonorrhea_%,0.03680101365457081,-0.010451125350993849,0.06748831271090497,0.0341281077566536,-0.003087141994972362,0.05317140202893704,0.007321171359385517,0.018340591047861805,-0.030894600100609675,0.025187053807502226,0.05520001115903396,0.4755312548629399,0.06050954219787368,0.19082872930839098,1.0,0.01474506317900235,-0.1393203085851673,0.08833376374290304,-0.058671306162056534,0.13522937892877956,-0.046320890676118255,-0.3674576368283612,0.01571065246825052,0.00758952804821356,-0.14307807710463738,-0.1601727446511359,-0.0038686941877760163,-0.07876249883193909,-0.118747759422059
nonfatal_opiod_hospitalevents_%,-0.2508327210060529,-0.10747536024849207,-0.17478694617719348,0.3382334361722702,0.22817906305567,0.262376493191387,0.3309422459967509,-0.09032899703343546,0.14709116151228738,0.11987648582995918,-0.028345568832184215,0.005535560498255138,-0.11792574614090488,-0.3387071345640406,0.01474506317900235,1.0,0.4505202446357413,0.37303918870943376,0.31813220073776055,-0.18599244312088226,0.2321590046421083,-0.057813870120934904,0.3012137875020541,0.23918007833305518,0.15467868521501588,0.1785903013320473,0.2611813129865102,0.4343865702933218,0.34832066813603596
hypertension_%,-0.3276750265372976,-0.08396619829970063,-0.26330426075555247,0.386196888023313,0.17330136849274178,0.3278250841469256,0.2754245524385917,-0.011089750705310477,0.23599647732315893,0.18378048627191165,-0.0341214826730012,-0.07991832539214973,-0.16980563664357778,-0.3513147925167382,-0.1393203085851673,0.4505202446357413,1.0,0.30535840973433326,0.3175363708731528,-0.09212589516322374,0.06209313521769697,0.11543140098238554,0.2611986006350778,0.18002170638515289,0.059574611428123835,0.19493718681814515,0.17747939759130443,0.46375845022497486,0.358145143841263
diagnosed_depression_%,-0.21174490801877005,-0.06650165185371464,-0.09555178082179958,0.25854641906880976,0.09802704596797948,0.08486829483295712,0.1466982917837533,-0.059346816093678124,0.1272074260794226,0.05653892500683802,-0.017656427691664714,0.15558724817393846,-0.1390342727350119,-0.34173397995333493,0.08833376374290304,0.37303918870943376,0.30535840973433326,1.0,0.21869680966414004,-0.08686937437487802,0.07833099253469032,0.010120516637345622,0.2379003218456075,0.185686581306046,0.13100211506783682,0.16339601802153536,0.13034807850778565,0.28647936911519073,0.2599197930873418
anyexercise_%,-0.06126618451424336,-0.0014664950660991125,-0.05874652460222564,0.19125740759508403,0.16978756295644185,0.21475546317655733,0.24214105793847743,-0.08132750252816155,0.24102173047258732,0.17809585903701106,-0.056211379768133236,0.003804939583350719,0.005909482584229446,-0.21170870610312204,-0.058671306162056534,0.31813220073776055,0.3175363708731528,0.21869680966414004,1.0,0.01906830119351443,0.3105281921995338,0.03041246550276369,0.05864128570908508,0.2887641332365334,-0.08858376793686648,-0.03371291111196659,0.05571405408116142,0.18975740262288163,0.2158682766968741
suicide_deaths_%,0.20373654274990866,0.10945176732570669,0.05715204933218832,-0.1780560074991029,-0.0840024556346645,-0.09268192749496675,-0.04484704144131351,0.09315750622136934,-0.05676640270823026,-0.02177302564407025,0.02453945100999858,0.004969901060766445,0.05168342385456307,0.17882015337122226,0.13522937892877956,-0.18599244312088226,-0.09212589516322374,-0.08686937437487802,0.01906830119351443,1.0,0.18912051548881123,-0.17649401322026734,-0.2066685326637735,0.08022978133803745,-0.1874289664865615,-0.3593373262643096,0.010313979754092886,-0.2246897738907225,-0.20270913563732357
risk_per1000,0.17260607859277693,0.04786620125960568,0.07224983581177116,0.04767134255475951,0.2541254970538661,0.19391267640360293,0.1599079176357826,0.10211865076142701,0.2080590966184565,0.12803007813357548,0.006752974830178943,0.024986739721881677,0.01582234827024603,-0.18763140742813827,-0.046320890676118255,0.2321590046421083,0.06209313521769697,0.07833099253469032,0.3105281921995338,0.18912051548881123,1.0,0.018652027650433903,-0.08326192411051493,0.364853491811452,-0.14045781417641726,-0.20964878263325684,0.12220686495256027,0.134046094797704,0.017546404261856368
smokers_helpline_%,-0.13800072894252305,-0.04577719871135566,-0.12530286447003572,0.11533572990717282,0.05347640203888448,-0.14139675592799175,0.0035386091938560188,0.05789195124285448,0.035893161412507174,-0.08896220864435443,-0.055594175948358714,0.02670475648760181,-0.08842619843135902,-0.11432944304470279,-0.3674576368283612,-0.057813870120934904,0.11543140098238554,0.010120516637345622,0.03041246550276369,-0.17649401322026734,0.018652027650433903,1.0,0.06276527228076137,-0.04875720331783619,0.19830769341595147,0.06990703436836289,-0.024227638628333,0.13121149650069083,0.105857230701955
substanceuse_rate_AA,-0.6643319571747874,0.061046975739274395,0.05347767521106413,0.5715592349983725,0.14383217596513906,-0.006496404143303646,0.32771953659637243,-0.12282834441829649,0.11196670944126123,0.06411902030361118,-0.017953133021281178,0.2521102647722382,-0.490094123836396,-0.21685437200526284,0.01571065246825052,0.3012137875020541,0.2611986006350778,0.2379003218456075,0.05864128570908508,-0.2066685326637735,-0.08326192411051493,0.06276527228076137,1.0,-0.2694777781078711,0.39964125605056855,0.31618970124100254,0.18487363566723342,0.4098341521017887,0.2496821444191858
mentalhealth_hosp_rate,0.06256893363060903,0.12129915786543127,-0.21354209354236633,0.08669309257683365,0.12786401523415228,0.16026919816672627,0.14059182989207944,0.06415769991273271,0.18574343858884657,0.12186532491139468,-0.07184887425055966,-0.15291826799420652,0.03403811078605068,-0.1944845460610305,0.00758952804821356,0.23918007833305518,0.18002170638515289,0.185686581306046,0.2887641332365334,0.08022978133803745,0.364853491811452,-0.04875720331783619,-0.2694777781078711,1.0,-0.12559369354772465,-0.11781151866544125,0.09537038473247744,0.17193029228137446,0.16917799088523364
breast_cancer_sir,-0.3405777178906317,0.12903639953393573,-0.028051766497808033,0.23030851706779862,0.06487072942290659,-0.09659567162742644,0.2591398655980319,-0.26895272280721083,-0.006564288528945281,-0.11667880582865799,0.1122834129138854,0.0735087725800129,-0.19116709450327318,-0.19849187287376455,-0.14307807710463738,0.15467868521501588,0.059574611428123835,0.13100211506783682,-0.08858376793686648,-0.1874289664865615,-0.14045781417641726,0.19830769341595147,0.39964125605056855,-0.12559369354772465,1.0,0.460786631907071,0.4214285627418893,0.4003113964934953,0.2036174231556776
prostrate_cancer_sir,-0.36561721985498025,0.015927779508711642,-0.1983610482087125,0.32302944579297493,0.13554411293783458,-0.0401131159452746,0.15432724802157824,-0.20059765394444937,-0.012414171661655943,-0.11737366814534209,0.13437641018697674,-0.05987684724214245,-0.145771339479766,-0.1374844017584575,-0.1601727446511359,0.1785903013320473,0.19493718681814515,0.16339601802153536,-0.03371291111196659,-0.3593373262643096,-0.20964878263325684,0.06990703436836289,0.31618970124100254,-0.11781151866544125,0.460786631907071,1.0,0.30186443358500425,0.3855840207716586,0.23163064609540784
colorectal_cancer_sir,-0.1839862107090498,-0.0005182300862945269,-0.08555658070529247,0.22290310983384015,0.13597470845350146,-0.0468193561317397,0.16533732469983217,-0.08836631726959551,0.046007064051519615,-0.015025870606766328,0.06297023768673667,0.12307330747379949,-0.13185772163320275,-0.21235677488792465,-0.0038686941877760163,0.2611813129865102,0.17747939759130443,0.13034807850778565,0.05571405408116142,0.010313979754092886,0.12220686495256027,-0.024227638628333,0.18487363566723342,0.09537038473247744,0.4214285627418893,0.30186443358500425,1.0,0.36335368543738156,0.1392826432457777
lung_cancer_sir,-0.24658461598707415,0.10435300447910516,-0.03106870493378785,0.48317484918954995,0.35109821798228946,0.2784023484604067,0.2570423234441556,-0.0013554749069036784,0.1633300348662272,0.1279586459221927,-0.016053434675671014,0.04787418839228155,-0.2658419294959656,-0.40559321472800475,-0.07876249883193909,0.4343865702933218,0.46375845022497486,0.28647936911519073,0.18975740262288163,-0.2246897738907225,0.134046094797704,0.13121149650069083,0.4098341521017887,0.17193029228137446,0.4003113964934953,0.3855840207716586,0.36335368543738156,1.0,0.3040527668592436
cervical_cancer_sir,-0.2636573355509604,0.01430943965287561,-0.133600508842681,0.3330541428155396,0.08939151785347105,0.06488162193279351,0.24773747718576122,-0.10131562171611046,0.10706857181419073,0.021140342878298923,-0.028569689013781388,-0.018131628864549054,-0.11970628994148623,-0.3079223826366357,-0.118747759422059,0.34832066813603596,0.358145143841263,0.2599197930873418,0.2158682766968741,-0.20270913563732357,0.017546404261856368,0.105857230701955,0.2496821444191858,0.16917799088523364,0.2036174231556776,0.23163064609540784,0.1392826432457777,0.3040527668592436,1.0
