Town,Health Score
Edgartown,0.35
Hamilton,0.35
Pittsfield,0.35
Sharon,0.35
Shirley,0.35
Stoughton,0.35
West Springfield,0.35
Weymouth,0.35
Winthrop,0.35
Boxborough,0.36
Harvard,0.36
Haverhill,0.36
Melrose,0.36
Peabody,0.36
Southbridge,0.36
Woburn,0.36
Andover,0.37
Beverly,0.37
Leominster,0.37
Milford,0.37
Southborough,0.37
Stockbridge,0.37
Natick,0.38
Sunderland,0.38
Dedham,0.39
North Adams,0.39
Fall River,0.4
Bedford,0.41
Marlborough,0.41
Milton,0.41
Needham,0.41
Norwell,0.41
Acton,0.42
New Bedford,0.42
Shrewsbury,0.42
Wenham,0.42
Concord,0.43
Fitchburg,0.43
Norwood,0.43
Lincoln,0.44
Burlington,0.45
Holyoke,0.45
Watertown,0.45
Winchester,0.45
Arlington,0.46
Framingham,0.46
Randolph,0.46
Salem,0.46
Weston,0.46
Medford,0.48
Westborough,0.48
Lexington,0.49
Northampton,0.5
Tisbury,0.5
Aquinnah,0.51
Belmont,0.52
Waltham,0.52
Williamstown,0.52
Revere,0.53
Brockton,0.54
Lowell,0.54
Nantucket,0.54
Newton,0.54
Springfield,0.55
Everett,0.56
Great Barrington,0.56
Worcester,0.56
Lynn,0.57
Provincetown,0.57
Quincy,0.58
Amherst,0.59
Wellesley,0.59
Lawrence,0.62
Malden,0.64
Somerville,0.7
Brookline,0.74
Chelsea,0.87
Cambridge,0.97
Boston,1.0
