Feature,pc1
costas%income_wmgage_20to25%_%,1.1105321330539465e-13
costas%income_wmgage_25to30%_%,9.709801611561864e-14
costas%income_wmgage_30to35%_%,-1.2634099951712977e-13
costas%income_wmgage_gt35%_%,2.842846404332371e-14
costas%income_womgage_lt10%_%,-8.515613775171427e-14
costas%income_womgage_10to15%_%,-2.1743290663415807e-13
costas%income_womgage_15to20%_%,7.903808661298639e-14
costas%income_womgage_20to25%_%,-9.638271445192196e-14
costas%income_womgage_25to30%_%,-3.155576571023031e-13
costas%income_womgage_30to35%_%,1.8234206663198043e-13
costas%income_womgage_gt35%_%,4.518326505533601e-13
avg_ela,9.618861404907505e-13
avg_math,7.669941253441603e-13
students_disabilities_%,6.186988324428446e-13
students_highneeds_%,-3.307019288873105e-12
student_teacher_ratio,3.358766878152208e-14
print_media_circ_%,1.3723544514539034e-14
libraries_%,-6.2531198402153216e-12
crimes_against_persons_%,-4.046679802856269e-12
crimes_against_property_%,-4.559476280983329e-11
crimes_against_society_%,3.499727070482747e-11
emp_pop_ratio_wh_only,5.198145801597061e-11
emp_pop_ratio_hisp,1.8378026830316403e-10
less_than_highschool_%,-4.907112254854489e-14
highschool_grad_%,-1.6479877690764268e-12
associates_degree_%,-1.2733024827939914e-12
vacant_rentals_%,-4.713063886161785e-13
employed_male_%,-1.0534224672064837e-14
cardio_admissions_AA,4.4741863978935125e-09
Diabetes_admissions_AA,-1.57871516556983e-10
Diabetes_emergencies_AA,1.0451038316501132e-10
Mental_admissions_AA,5.319037490076713e-09
fruit_consump_%,-1.7485315475580913e-13
obsese_adults_%,1.9598474503023679e-13
overweight_adults_%,4.363505369886485e-13
diabetic_adults_%,8.694733706673443e-14
heartrate_adult_%,-1.883923172520175e-14
poor_mental_health_%,5.004174343692567e-14
smoking_rate_%,-7.566227764135085e-13
smoking_pregnant_%,4.984229211088402e-13
infant_rate_2014_per1000,8.716660828086552e-12
hiv_density_per1000,-1.952711077709824e-12
firearm_deaths_2015_%,1.8012433538238753e-15
live_births_2014_%,4.397295862410335e-14
chlamydia_%,2.05568455681409e-12
gonorrhea_%,-3.317562028134176e-14
syphillis_%,2.3870741018033517e-14
nonfatal_opiod_hospitalevents_%,-1.0362423300889999e-12
hypertension_%,2.5165810700178012e-15
diagnosed_depression_%,-3.3932622085859876e-15
anyexercise_%,8.6164844639999e-14
suicide_deaths_%,2.153881945426078e-12
risk_per1000,4.4512386517892456e-13
smokers_helpline_%,1.9273645233421764e-14
substanceuse_rate_AA,-1.5137553312088784e-09
mentalhealth_hosp_rate,2.280723673861841e-09
breast_cancer_sir,-4.71035342096422e-10
prostrate_cancer_sir,-4.753346306544659e-10
colorectal_cancer_sir,-2.0617058000974677e-10
lung_cancer_sir,-9.618956092502229e-11
cervical_cancer_sir,4.278889119768784e-11
